date,country,state,population,confirmed,confirmed_1d,confirmed_moving_avg_7d,confirmed_moving_avg_7d_rate_14d,confirmed_trend,deaths,deaths_1d,deaths_moving_avg_7d,deaths_moving_avg_7d_rate_14d,deaths_trend,month,year
2021-01-01,Brazil,Acre,906876,41689,,,,,796,,,,,2021-01,2021
2021-01-02,Brazil,Acre,906876,41941,252,,,,798,2,,,,2021-01,2021
2021-01-03,Brazil,Acre,906876,42046,105,,,,802,4,,,,2021-01,2021
2021-01-04,Brazil,Acre,906876,42117,71,,,,806,4,,,,2021-01,2021
2021-01-05,Brazil,Acre,906876,42170,53,,,,808,2,,,,2021-01,2021
2021-01-06,Brazil,Acre,906876,42378,208,,,,814,6,,,,2021-01,2021
2021-01-07,Brazil,Acre,906876,42478,100,,,,821,7,,,,2021-01,2021
2021-01-08,Brazil,Acre,906876,42814,336,161,,,823,2,4,,,2021-01,2021
2021-01-09,Brazil,Acre,906876,42908,94,139,,,823,0,4,,,2021-01,2021
2021-01-10,Brazil,Acre,906876,43127,219,155,,,825,2,4,,,2021-01,2021
2021-01-11,Brazil,Acre,906876,43346,219,176,,,826,1,3,,,2021-01,2021
2021-01-12,Brazil,Acre,906876,43432,86,181,,,827,1,3,,,2021-01,2021
2021-01-13,Brazil,Acre,906876,43785,353,201,,,829,2,3,,,2021-01,2021
2021-01-14,Brazil,Acre,906876,44068,283,228,,,832,3,2,,,2021-01,2021
2021-01-15,Brazil,Acre,906876,44156,88,192,,,835,3,2,,,2021-01,2021
2021-01-16,Brazil,Acre,906876,44621,465,245,,,835,0,2,,,2021-01,2021
2021-01-17,Brazil,Acre,906876,44767,146,235,,,836,1,2,,,2021-01,2021
2021-01-18,Brazil,Acre,906876,44775,8,205,,,837,1,2,,,2021-01,2021
2021-01-19,Brazil,Acre,906876,45208,433,254,,,839,2,2,,,2021-01,2021
2021-01-20,Brazil,Acre,906876,45429,221,235,,,840,1,2,,,2021-01,2021
2021-01-21,Brazil,Acre,906876,45729,300,238,,,844,4,2,,,2021-01,2021
2021-01-22,Brazil,Acre,906876,45987,258,262,1.6273291925465838,downward,846,2,2,0.5,stable,2021-01,2021
2021-01-23,Brazil,Acre,906876,46239,252,232,1.669064748201439,downward,848,2,2,0.5,stable,2021-01,2021
2021-01-24,Brazil,Acre,906876,46429,190,238,1.5354838709677419,downward,850,2,2,0.5,stable,2021-01,2021
2021-01-25,Brazil,Acre,906876,46539,110,252,1.4318181818181819,downward,854,4,3,1.0,downward,2021-01,2021
2021-01-26,Brazil,Acre,906876,46774,235,224,1.2375690607734806,downward,856,2,3,1.0,downward,2021-01,2021
2021-01-27,Brazil,Acre,906876,47119,345,242,1.2039800995024876,downward,858,2,3,1.0,downward,2021-01,2021
2021-01-28,Brazil,Acre,906876,47461,342,248,1.087719298245614,downward,860,2,3,1.5,downward,2021-01,2021
2021-01-29,Brazil,Acre,906876,47936,475,279,1.453125,downward,861,1,3,1.5,downward,2021-01,2021
2021-01-30,Brazil,Acre,906876,48347,411,302,1.2326530612244897,downward,864,3,3,1.5,downward,2021-01,2021
2021-01-31,Brazil,Acre,906876,48467,120,292,1.2425531914893617,downward,867,3,3,1.5,downward,2021-01,2021
2021-02-01,Brazil,Acre,906876,48820,353,326,1.5902439024390245,downward,873,6,3,1.5,downward,2021-02,2021
